Pair ID,Dataset,Language model,Specificity,Words,Words shorter,Words clearer,Readability score,Readability score shorter,Readability score clearer,Cosine similarity,Cosine similarity shorter,Cosine similarity clearer
pair_50,collaborative_ssd_case_inspection,gpt-oss:20b,2,88,51,86,80.67772727272727,79.76426470588238,76.80319767441863,0.8878569199138645,0.7705933376841312,0.8609494441524287
pair_51,collaborative_ssd_case_inspection,gpt-oss:20b,2,70,53,76,87.67452380952382,94.7259748427673,86.5032456140351,0.9417317268094303,0.9023653445074621,0.9427492340812816
pair_52,collaborative_ssd_case_inspection,gpt-oss:20b,2,129,59,154,82.05332258064517,75.02926553672317,80.18973154362418,0.8891189055792652,0.7556695650496248,0.8800706622898207
pair_53,collaborative_ssd_case_inspection,gpt-oss:20b,2,102,58,115,80.59367647058825,83.64959770114945,82.01896739130436,0.8789293729403967,0.9041612144413017,0.9171561354951128
pair_54,collaborative_ssd_case_inspection,gpt-oss:20b,2,127,77,155,76.01977362204727,75.30800865800866,84.46966791979952,0.912804994658642,0.8814084110541397,0.9097923295170154
pair_55,collaborative_ssd_case_inspection,gpt-oss:20b,2,78,61,94,95.93480769230771,98.43493852459018,89.33,0.8732556209362622,0.9192541365724645,0.9283690453151836
pair_56,collaborative_ssd_case_inspection,gpt-oss:20b,2,76,35,41,77.86489473684213,65.79821428571432,75.3486991869919,0.6310696014083639,0.7203568609672822,0.49670459109895904
pair_57,collaborative_ssd_case_inspection,gpt-oss:20b,2,90,31,112,76.74500000000002,66.20870967741936,73.68,0.921665672839922,0.7535866178561526,0.8924695693529499
pair_58,collaborative_ssd_case_inspection,gpt-oss:20b,2,117,50,86,75.19240384615387,64.71200000000003,80.18397674418605,0.9259388910467306,0.7891794602604612,0.7966281636029329
pair_59,collaborative_ssd_case_inspection,gpt-oss:20b,2,167,102,117,80.30632235528944,76.94264705882355,89.4456315789474,0.8902709879695543,0.8822523159072554,0.8732323865127503
pair_60,collaborative_ssd_case_inspection,gpt-oss:20b,2,52,30,55,61.67961538461542,69.22500000000004,54.329772727272754,0.7304184905372443,0.6677938949260354,0.5628372705322607
pair_61,collaborative_ssd_case_inspection,gpt-oss:20b,2,113,44,100,79.83051327433631,74.66196969696972,75.70900000000003,0.8993899219936021,0.68256425716233,0.773492343235452
pair_62,collaborative_ssd_case_inspection,gpt-oss:20b,2,92,56,68,94.36334782608698,88.1811904761905,89.76923529411765,0.9093019718706736,0.8486331513909151,0.9049505700351343
pair_63,collaborative_ssd_case_inspection,gpt-oss:20b,2,117,77,137,82.42317307692309,67.77568181818184,66.53782051282055,0.9054779651200306,0.898975759918603,0.898001013527767
pair_64,collaborative_ssd_case_inspection,gpt-oss:20b,2,124,75,137,82.58290322580648,84.45200000000001,84.1457012195122,0.9219849681089605,0.893542691336361,0.9174857878764446
pair_65,collaborative_ssd_case_inspection,gpt-oss:20b,2,115,64,126,77.6050543478261,86.04104166666667,75.91300000000001,0.9133870248647932,0.8438373487166378,0.8452764512771513
pair_66,collaborative_ssd_case_inspection,gpt-oss:20b,2,117,58,131,81.85323076923078,95.84853448275862,77.74475000000001,0.9196647592779807,0.8424064853017339,0.8839500588441562
pair_67,collaborative_ssd_case_inspection,gpt-oss:20b,2,73,49,79,82.47091324200915,87.00831632653063,83.72691983122364,0.8092119566740692,0.8728124550651617,0.8607423543403703
pair_68,collaborative_ssd_case_inspection,gpt-oss:20b,2,56,50,87,88.1811904761905,90.09033333333336,84.74154411764708,0.857839438206335,0.7986216764197257,0.8407237249191066
pair_69,collaborative_ssd_case_inspection,gpt-oss:20b,2,109,67,92,64.3065252293578,76.83830845771146,85.16769565217393,0.8408838663421475,0.8582409413398618,0.7415833691702616
pair_70,collaborative_ssd_case_inspection,gpt-oss:20b,2,131,53,109,79.3453435114504,75.57125786163523,76.82359633027524,0.9099746730394124,0.8376506616209275,0.8945481727945641
pair_71,collaborative_ssd_case_inspection,gpt-oss:20b,2,130,68,147,73.06807692307696,79.32245098039218,81.31863636363636,0.8187617076403717,0.83796843596748,0.7832832532105927
pair_72,collaborative_ssd_case_inspection,gpt-oss:20b,2,81,30,62,81.83680555555557,63.585000000000036,82.18027322404375,0.8464687107818031,0.6299862010126787,0.8400449558475205
