Pair ID,Dataset,Language model,Specificity,Words,Words shorter,Words clearer,Readability score,Readability score shorter,Readability score clearer,Cosine similarity,Cosine similarity shorter,Cosine similarity clearer
pair_23,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,17,17,85.07411764705884,85.07411764705884,85.07411764705884,0.8561706738324665,0.8561706738324665,0.8561706738324665
pair_24,collaborative_ssd_case_inspection,gpt-oss:20b,1,26,18,26,82.82961538461542,85.16499999999999,76.3219230769231,0.65,0.632455532033676,0.65
pair_25,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,14,15,84.45000000000003,83.85357142857143,84.45000000000003,0.7149203529842405,0.6434894520877869,0.7149203529842405
pair_26,collaborative_ssd_case_inspection,gpt-oss:20b,1,25,25,25,86.708,86.708,86.708,0.6646940512883969,0.6646940512883969,0.6646940512883969
pair_27,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,15,84.45000000000003,84.45000000000003,84.45000000000003,0.7149203529842405,0.7149203529842405,0.7149203529842405
pair_28,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,15,84.45000000000003,84.45000000000003,84.45000000000003,0.7195920781292547,0.7195920781292547,0.7195920781292547
pair_29,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,15,84.45000000000003,84.45000000000003,84.45000000000003,0.7149203529842405,0.7149203529842405,0.7149203529842405
pair_30,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,15,84.45000000000003,95.73000000000002,84.45000000000003,0.7195920781292547,0.3741878806272124,0.7195920781292547
pair_31,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,15,84.45000000000003,84.45000000000003,84.45000000000003,0.7149203529842405,0.7149203529842405,0.7149203529842405
pair_32,collaborative_ssd_case_inspection,gpt-oss:20b,1,16,16,16,79.5575,79.5575,79.5575,0.6713450866373514,0.6713450866373514,0.6713450866373514
pair_33,collaborative_ssd_case_inspection,gpt-oss:20b,1,25,25,25,86.708,86.708,79.94000000000001,0.6416587529241817,0.6416587529241817,0.5646597025732799
pair_34,collaborative_ssd_case_inspection,gpt-oss:20b,1,20,15,23,93.47500000000002,101.37000000000002,91.53347826086959,0.6510592946331427,0.6291528696058959,0.6740186015747764
pair_35,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,18,27,92.86285714285715,99.265,79.16333333333336,0.5897678246195887,0.5560384374855328,0.6677703836348309
pair_36,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,69,84.45000000000003,84.45000000000003,38.06125,0.7195920781292547,0.7195920781292547,0.700259403381148
pair_37,collaborative_ssd_case_inspection,gpt-oss:20b,1,24,15,25,90.82500000000003,101.37000000000002,83.32400000000003,0.7092081432669753,0.5590169943749475,0.577896743774047
pair_38,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,15,84.45000000000003,84.45000000000003,84.45000000000003,0.7195920781292547,0.7195920781292547,0.7195920781292547
pair_39,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,17,78,92.86285714285715,95.02705882352943,74.94715384615385,0.6614378277661479,0.5601120336112041,0.46676002800933664
pair_40,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,15,84.45000000000003,84.45000000000003,84.45000000000003,0.7195920781292547,0.7195920781292547,0.7195920781292547
pair_41,collaborative_ssd_case_inspection,gpt-oss:20b,1,22,13,21,92.21409090909091,102.53230769230771,92.86285714285715,0.6510592946331428,0.3969283100678678,0.606217782649107
pair_42,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,15,84.45000000000003,84.45000000000003,84.45000000000003,0.7195920781292547,0.7195920781292547,0.7195920781292547
pair_43,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,17,17,85.07411764705884,85.07411764705884,85.07411764705884,0.8561706738324665,0.8561706738324665,0.8561706738324665
pair_44,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,19,19,94.04473684210527,94.04473684210527,94.04473684210527,0.6171264622608037,0.6171264622608037,0.6171264622608037
pair_45,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,18,84.45000000000003,84.45000000000003,66.36500000000001,0.7149203529842405,0.7149203529842405,0.4540034830713326
pair_46,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,15,84.45000000000003,95.73000000000002,84.45000000000003,0.7195920781292547,0.3741878806272124,0.7195920781292547
pair_47,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,17,27,85.07411764705884,85.07411764705884,77.19916666666668,0.8561706738324665,0.8561706738324665,0.7125205619235225
pair_48,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,21,21,92.86285714285715,92.86285714285715,92.86285714285715,0.6192562158505681,0.6192562158505681,0.6192562158505681
pair_49,collaborative_ssd_case_inspection,gpt-oss:20b,1,22,22,22,92.21409090909091,92.21409090909091,92.21409090909091,0.6510592946331428,0.6510592946331428,0.6510592946331428
pair_50,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,15,84.45000000000003,84.45000000000003,84.45000000000003,0.7149203529842405,0.7149203529842405,0.7149203529842405
pair_51,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,21,21,92.86285714285715,92.86285714285715,92.86285714285715,0.6531972647421809,0.6531972647421809,0.6531972647421809
